patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment,paper
5,False,CONTROL FEEDBACK,0.6638975975867699,15.568623559550854,60,435.9188710056951,435.25497340810847,36.47112605877816,39.14239140713909,0.0422864531963334,-0.2110370323228206,0.2952523510015332,0.3275494579991579,0.7444117826677636,0.917605840587371,6.536830427326321e-25,e1a,revisited
5,True,CONTROL FEEDBACK,-5.30322354421375,15.831608369455155,60,431.3721901191648,436.6754136633786,38.06695152545429,37.10188002396244,-0.3321737249670529,-0.5908424270330246,-0.0708383003616826,-2.573006609690158,0.0063082964323001,0.9115985790574224,4.6228824847120236e-24,e1a,revisited
10,False,CONTROL FEEDBACK,-2.9931342796510685,18.98837584148304,57,434.7027102615684,437.6958445412196,38.38890134657759,33.991668138937165,-0.1562409846542627,-0.4167572470866658,0.1056508386740322,-1.179593566143362,0.2431489484821585,0.8692535725354071,1.8234881213989907e-18,e1a,revisited
10,True,CONTROL FEEDBACK,-8.313128605150617,18.618869273796825,57,429.2988370381751,437.6119656433256,35.51877935174392,39.98756168711554,-0.4425555404251038,-0.7129335698631615,-0.1685768366187611,-3.341221058621305,0.0007451007402253,0.884992565004868,6.633429168453509e-20,e1a,revisited
5,False,CONTROL FEEDBACK,0.6792399205023455,14.3812910367779,52,442.6531305720008,441.9738906514983,55.84461645993308,56.98838803264922,0.0467744558069622,-0.2254029666479959,0.3184943119429427,0.3372953975878535,0.7372784994147704,0.9677119147662238,1.3774249228621076e-31,e1b,revisited
5,True,CONTROL FEEDBACK,-10.74135952061792,19.71337323558764,52,431.094715913245,441.8360754338629,51.70843445477062,54.78518006046028,-0.5396121560825988,-0.828476856797975,-0.2461153303616806,-3.891198595238975,0.0001451532964323,0.9330797726349522,7.487071621147657e-24,e1b,revisited
10,False,CONTROL FEEDBACK,4.191794186807845,14.503542684894647,41,438.6149419963383,434.42314780953024,40.58271196865032,40.86561069923111,0.2854722650408694,-0.0286161201350409,0.596144207579888,1.827914379398045,0.075028002149573,0.9366051650997076,2.333182033268985e-19,e1b,revisited
10,True,CONTROL FEEDBACK,-10.969942975709488,18.00637203678106,41,423.4143130644044,434.3842560401139,40.83650955551074,43.90222302753602,-0.6017501653599916,-0.9316863603118628,-0.2654442616391,-3.853081068695787,0.0002063852890663,0.9121964370460652,1.0710094357710692e-16,e1b,revisited
5,False,CONTROL FEEDBACK,3.503476648450464,15.02335507397194,37,445.8073600841983,442.3038834357478,39.153781253535456,41.49493201141885,0.2300290488578381,-0.0980628117447662,0.5550130943216663,1.399212079272596,0.1703070156376568,0.9322267346184256,5.07071743048066e-17,e2a,revisited
5,True,CONTROL FEEDBACK,-5.237739199814394,17.85560567192362,37,441.7178876153867,446.95562681520096,41.54338915511518,44.247289798753954,-0.2893474585092446,-0.6164520188668599,0.0416027735425326,-1.760031878857052,0.0434489174145939,0.9152664124216492,2.2028960914136792e-15,e2a,revisited
10,False,CONTROL FEEDBACK,-1.758284960487454,12.308906661156444,41,442.12889789980113,443.8871828602885,33.67238512708167,32.43411726256853,-0.1410937740147056,-0.4478658954439787,0.167419334078953,-0.9034409641444348,0.3717007660032951,0.9313381582102338,1.0546293239058097e-18,e2a,revisited
10,True,CONTROL FEEDBACK,-5.922868809060915,19.60146045541753,41,437.9910928592324,443.9139616682933,31.97257114831953,35.18509702740946,-0.2984569865642472,-0.6096380872866161,0.0162853746307328,-1.9110571645007013,0.0315910508716248,0.8338173854242368,1.3028209257807016e-11,e2a,revisited
5,False,CONTROL FEEDBACK,6.633237288648227,19.910713991804048,48,472.85214763903895,466.2189103503908,69.17321315770316,59.8500955776,0.3296605734577856,0.0373988894882095,0.6185991983695058,2.283955449924707,0.0269365950120068,0.9626190507959296,9.777295542671965e-28,e2b,revisited
5,True,CONTROL FEEDBACK,-8.790172917555898,12.578150882312448,48,463.3271557244505,472.1173286420064,63.08170633662379,67.30695515616512,-0.6915266613503305,-1.0039308267075673,-0.3731626207762194,-4.791037248988998,8.494017217029252e-06,0.983471205692555,8.619378463854119e-36,e2b,revisited
10,False,CONTROL FEEDBACK,-0.0272297883408374,15.816348423294006,49,477.5547534840667,477.5819832724077,74.80558947687199,74.30226949348729,-0.0017039648063036,-0.2816902611148683,0.2783000337864575,-0.0119277536441257,0.9905326938182129,0.9775194829876256,1.9921885441567805e-33,e2b,revisited
10,True,CONTROL FEEDBACK,-10.170328551465472,20.868441552111925,49,471.3929682612626,481.56329681272814,72.51351153925009,75.69321769853221,-0.4823558437151612,-0.7761756258646334,-0.1840339675881455,-3.376490906006129,0.0007313854771954,0.9612499277717532,6.011004483879903e-28,e2b,revisited
5,False,CONTROL FEEDBACK,-3.847773159128949,15.820295182496414,41,419.3063179560415,423.1540911151705,47.139206547627246,42.83651139438236,-0.2402331553630235,-0.5493426852781036,0.0717841863407853,-1.538242739739947,0.1318631553019012,0.9426110666483442,3.537082661428626e-20,e2c,revisited
5,True,CONTROL FEEDBACK,-4.296148644208076,10.844068282913602,41,417.71578847889,422.01193712309794,45.15363951713023,46.12570814912572,-0.3913137631359688,-0.7068515051214267,-0.0712391327109334,-2.505630641176978,0.0081970706635105,0.9719963370436312,3.86100946245182e-26,e2c,revisited
10,False,CONTROL FEEDBACK,-1.117120750608005,17.461572063968237,49,439.0790470986648,440.1961678492729,62.64108214506709,58.16272213792917,-0.0633197741271682,-0.3432728115247799,0.2172858374391434,-0.4432384188901778,0.6595846719401778,0.960908398980674,7.3599411104200485e-28,e2c,revisited
10,True,CONTROL FEEDBACK,-2.8940238922550483,14.234189839084191,49,433.935348843749,436.8293727360041,56.50883814676231,60.48028149483011,-0.2012296339756914,-0.4830630883406797,0.0826562898306977,-1.40860743782984,0.0826981065776668,0.9726656209991206,1.8686891432394263e-31,e2c,revisited
5,False,CONTROL FEEDBACK,3.8991795128747824,16.878405761481424,40,442.505860485994,438.6066809731192,34.64214763572562,41.46413534037863,0.2281098897385507,-0.0872912849624886,0.5406671898175812,1.4426936167673825,0.1570907295983739,0.9170356608854296,9.412078288447918e-17,e1,relevance
5,True,CONTROL FEEDBACK,-11.82747554519718,16.549622348123396,40,430.8464913710148,442.673966916212,30.77714979761905,37.97874620858001,-0.7056775133433061,-1.049040049337583,-0.3550594352135474,-4.463096471457421,3.349993674261017e-05,0.9050255491372308,1.1035881111366113e-15,e1,relevance
10,False,CONTROL FEEDBACK,1.779256727490049,24.74627389945412,36,444.906788860775,443.12753213328494,47.236612889403126,44.98010820937611,0.0708943414889898,-0.2566846748485971,0.3974713676188766,0.4253660489339391,0.6731739550998654,0.8570894753080119,2.5233126855000863e-11,e1,relevance
10,True,CONTROL FEEDBACK,-10.517488315059568,18.718442825328413,36,430.2134846499843,440.7309729650438,46.03000313961585,47.14617054073361,-0.5540195532496943,-0.9019164020725112,-0.1992684827627041,-3.324117319498166,0.0010442725816757,0.9195594447627368,2.370026653750803e-15,e1,relevance
5,False,CONTROL FEEDBACK,19.469974127956508,27.492266984188493,37,392.13339170431954,372.6634175763629,52.263344283563775,44.97505443234544,0.6985624062224726,0.3345541818255249,1.0547617628942034,4.24918922964502,0.0001447845014228,0.8505229530559704,2.663431037011077e-11,e2,relevance
5,True,CONTROL FEEDBACK,-14.121313280013895,23.433878708799917,37,371.46021771327287,385.5815309932868,45.68479396279668,50.20746984064756,-0.5944034186156802,-0.9409538728312784,-0.2408405568194486,-3.615614842636627,0.000454972208689,0.8847521591973836,3.735119352701339e-13,e2,relevance
10,False,CONTROL FEEDBACK,3.5808572409982067,33.978214376550056,38,392.7672720948136,389.1864148538154,49.14344433921413,56.50989609540095,0.1039909435778379,-0.2155292375438961,0.4221190932033712,0.6410432287731807,0.5254456314148521,0.8019052189616642,1.436814569873989e-09,e2,relevance
10,True,CONTROL FEEDBACK,0.878665612284577,35.90848875189202,38,387.577075644108,386.6984100318233,48.884948128742536,53.004715832866985,0.0241454645803428,-0.2940126809406069,0.3419785176153422,0.1488426399672572,0.5587569503337706,0.7544612367354466,4.483415535338842e-08,e2,relevance
5,False,CONTROL FEEDBACK,0.4744194854335186,15.081194588386504,46,432.2501648199046,431.7757453344712,47.013358141056486,47.73849482814824,0.0311138759327029,-0.2581105885586969,0.3199937362594959,0.2110245736296108,0.8338208315172309,0.9494470748950384,9.11421912487716e-24,e3,relevance
5,True,CONTROL FEEDBACK,-9.918082515721824,17.120778544930214,46,424.4876394540641,434.40572196978593,47.324465484982376,49.86070621829597,-0.5729695580635576,-0.8823931384318316,-0.2580679615819105,-3.886068613072501,0.000165933135765,0.9392514109061738,4.671530372226522e-22,e3,relevance
10,False,CONTROL FEEDBACK,-1.7048311346292575,21.457453652197565,47,426.6110917854066,428.31592292003575,48.050183304625,48.50738666156399,-0.0786019231193092,-0.3645126308494994,0.2081642613858649,-0.5388676358332615,0.5925766992749819,0.9012752081535332,5.8756416631836485e-18,e3,relevance
10,True,CONTROL FEEDBACK,-4.68722601276662,20.62713778392206,47,423.6913341416664,428.378560154433,47.21165379606792,49.14551627404121,-0.2248054897620617,-0.5131568111088081,0.0659238632086163,-1.5411887900826884,0.0650613126774724,0.9091174212282002,9.929571573217317e-19,e3,relevance
